id,title,original_title,overview,premiere_date,popularity,genre,country_origin,original_language,rating,votes
43,Gravity Falls,Gravity Falls,"Twin brother and sister Dipper and Mabel Pines are in for an unexpected adventure when they spend the summer helping their great uncle Stan run a tourist trap in the mysterious town of Gravity Falls, Oregon.",6/15/2012,21.2564,"Animation, Comedy, Mystery, Sci-Fi & Fantasy, Kids, Action & Adventure, Family",United States,English,8.6,3288
44,Goblin,???? ????-???,"In his quest for a bride to break his immortal curse, a 939-year-old guardian of souls meets a grim reaper and a sprightly student with a tragic past.",12/2/2016,20.6957,"Drama, Sci-Fi & Fantasy, Comedy",South Korea,Korean,8.6,2988
45,Desafío Champions Sendokai,Desafío Champions Sendokai,,4/9/2013,1.7082,"Animation, Comedy, Action & Adventure, Family",Spain,Spanish,8.597,231
46,Dan Da Dan,?????,"In a bet to prove whether ghosts or aliens exist, two high schoolers face terrifying paranormal threats, gain superpowers and maybe even fall in love?!",10/4/2024,20.4888,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",Japan,Japanese,8.598,717
47,Planet Earth,Planet Earth,"David Attenborough celebrates the amazing variety of the natural world in this epic documentary series, filmed over four years across 64 different countries.",3/5/2006,6.3754,Documentary,United Kingdom,English,8.596,1172
48,Stranger Things,Stranger Things,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",7/15/2016,338.2498,"Sci-Fi & Fantasy, Mystery, Action & Adventure",United States,English,8.594,19065
49,The Originals,The Originals,"The Vampire Diaries spin-off that follows the Mikaelsons, a family of millennia-old, power-hungry vampires who want to reclaim the city they built, New Orleans, and dominate all those who have wronged them.",10/3/2013,23.876,"Sci-Fi & Fantasy, Drama, Mystery",United States,English,8.6,3497
50,The Spectacular Spider-Man,The Spectacular Spider-Man,"Having spent the summer engaging common criminals with his new-found powers, not so typical 16-year-old Peter Parker must conceal his secret identity and battle super-villains in the real world as he enters his junior year of high school.",3/8/2008,7.6089,"Action & Adventure, Animation, Kids, Family",United States,English,8.6,869
51,Cardcaptor Sakura,???????????,"Sakura Kinomoto, an elementary school student who discovers that she possesses magical powers after accidentally freeing a set of magical cards from the book they had been sealed in for years. She is then tasked with retrieving those cards in order to avoid an unknown catastrophe from befalling the world.",4/7/1998,14.1625,"Animation, Sci-Fi & Fantasy, Action & Adventure",Japan,Japanese,8.6,771
52,Lovely Runner,?? ?? ??,"Right after Ryu Sun-jae, a top star, ends his life, Im Sol, his top fan, somehow ends up at a time when they were in high school and tries to protect him. A fantasy romance unfolds where people who missed each other in time finally meet.",4/8/2024,10.2833,"Drama, Sci-Fi & Fantasy, Comedy, Mystery",South Korea,Korean,8.59,217
53,"Love, Victor","Love, Victor","Victor is a new student at Creekwood High School on his own journey of self-discovery, facing challenges at home, adjusting to a new city, and struggling with his sexual orientation. When it all seems too much, he reaches out to Simon to help him navigate the ups and downs of high school.",6/17/2020,6.3629,"Comedy, Drama",United States,English,8.6,1615
54,No One Will Miss Us,Nadie nos va a extrañar,"It's the '90s, and five losers run an illegal business at their high school. They sell homework and assignments to their classmates. The advantage is that no one ever suspects the nerds. Their business brings them money and popularity. But hormones and an unexpected death threaten to ruin everything. If the business collapses, their futures and their friendships are at risk.",8/9/2024,3.1747,"Drama, Comedy",Mexico,Spanish,8.588,267
55,The Office,The Office,"The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.",3/24/2005,59.8013,Comedy,United States,English,8.588,4791
56,Zoids: Chaotic Century,???,"Van discovers an Organoid in an abandoned laboratory while running from two strangers piloting Zoids. Also in the laboratory, in an animated suspension tube is a strange girl. He breaks the tube open and takes her and the Organoid with him. The girl, who says her name is Fiona, wants to find something called ""Zoid Eve"", and so Van, the Organoid Zeke, and Fiona begin their adventure.",9/4/1999,5.5727,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy",Japan,Japanese,8.6,357
57,House,House,"Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.",11/16/2004,119.8375,"Drama, Comedy, Mystery",United States,English,8.586,7171
58,Band of Brothers,Band of Brothers,"Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name.",9/9/2001,16.2853,"Drama, War & Politics",United States,English,8.58,3926
59,Scissor Seven,?????,"Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions.",4/25/2018,19.27,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",China,Chinese,8.6,740
60,InuYasha,???,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.",10/16/2000,13.8682,"Animation, Sci-Fi & Fantasy, Action & Adventure, Comedy, Mystery",Japan,Japanese,8.6,2043
61,JUJUTSU KAISEN,????,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.",10/3/2020,62.6463,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,8.576,4017
62,Big Time Rush,Big Time Rush,"Four teenage friends move from Minneapolis to Los Angeles to form a potential chart-topping boy band after Kendall is inadvertently discovered by an eccentric record executive, Gustavo Rocque. As they seize this opportunity of a lifetime, these friends embark on an exciting comedy and music-filled journey to prove to themselves and their record label that they are serious about their new career choice.",11/28/2009,8.7949,"Comedy, Kids",United States,English,8.6,1665
63,Blue Planet II,Blue Planet II,There is nowhere more powerful and unforgiving yet more beautiful and compelling than the ocean. Join us and explore the greatest yet least known parts of our planet.,10/29/2017,2.637,"Documentary, Family",United Kingdom,English,8.6,306
64,Heartstopper,Heartstopper,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,4/22/2022,10.3084,Drama,United Kingdom,English,8.574,1612
65,Villainous,Villanos,"Follow the misadventures of the Black Hat Org. with evil handyman Black Hat and his less evil aides Dr. Flugslys, Demencia, 5.0.5, Cam Bot, and Penumbra.",5/15/2017,1.8732,Animation,Mexico,Spanish,8.6,302
