id,title,original_title,overview,premiere_date,popularity,genre,country_origin,original_language,rating,votes
86,Dororo,???,"A samurai lord has bartered away his newborn son's organs to forty-eight demons in exchange for dominance on the battlefield. Yet, the abandoned infant survives thanks to a medicine man who equips him with primitive prosthetics—lethal ones with which the wronged son will use to hunt down the multitude of demons to reclaim his body one piece at a time, before confronting his father. On his journeys the young hero encounters an orphan who claims to be the greatest thief in Japan.",1/7/2019,8.6715,"Animation, Action & Adventure",Japan,Japanese,8.544,1262
87,BoJack Horseman,BoJack Horseman,"Meet the most beloved sitcom horse of the '90s , 20 years later. He's a curmudgeon with a heart of...not quite gold...but something like gold. Copper?",8/22/2014,25.4725,"Animation, Comedy, Drama",United States,English,8.5,2681
88,Dr. STONE,Dr.STONE,"One fateful day, all of humanity was petrified by a blinding flash of light. After several millennia, high schooler Taiju awakens and finds himself lost in a world of statues. However, he’s not alone! His science-loving friend Senku’s been up and running for a few months and he's got a grand plan in mind—to kickstart civilization with the power of science!",7/5/2019,5.0399,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",Japan,Japanese,8.5,1579
89,Mushoku Tensei: Jobless Reincarnation,???? ?????????????,"A 34-year-old hikikomori is kicked out of his home by his family after the death of his parents. After his eviction, he saves a group of teenagers from being killed by a speeding truck, but loses his life in the process. When he comes to, he realizes he has been reborn as Rudeus Greyrat, in a world of swords and sorcery.",1/11/2021,35.5931,"Action & Adventure, Animation, Sci-Fi & Fantasy",Japan,Japanese,8.5,1371
90,Rascal Does Not Dream of Bunny Girl Senpai,?????????????????????,"Puberty Syndrome—a rumored, mysterious syndrome that only affects those in their puberty. For example, a bunny girl suddenly appeared in front of Sakuta Azusagawa. The bunny girl's real identity is Mai Sakurajima, a teenage celebrity who is currently an inactive high school senior. For some reason, her charming figure does not reflect in the eyes of others. In the course of revealing the mystery behind this phenomenon, Sakuta begins to explore his feelings towards Mai. Set in a city where the skies and seas shine, Sakuta unfolds the meaning behind his bizarre encounters on women with the said syndrome.",10/4/2018,16.3435,"Animation, Comedy, Mystery, Drama",Japan,Japanese,8.5,1275
91,DARLING in the FRANXX,???????????????,"The story is set in the distant future. The land is ruined, and humanity establishes the mobile fort city Plantation. Pilots produced inside Plantation live in Mistilteinn, also know as the ""birdcage."" Children live there knowing nothing of the outside world or the freedom of the sky. Their lives consist of battling to carry out missions. Their enemies are mysterious giant lifeforms known as Kyouryuu, and the children pilot robots called Franxx to face off against them. For the children, riding the Franxx proves their existence.

A boy named Hiro is called Code:016, and he was once known as a prodigy. However, he has fallen behind, and his existence seems unnecessary. Not piloting a Franxx is the same as ceasing to exist. One day, a mysterious girl known as ""Zero Two"" appears before him. Two horns grow out of her head.",1/13/2018,8.5169,"Animation, Drama, Sci-Fi & Fantasy, Comedy",Japan,Japanese,8.5,1848
92,Yuri!!! on Ice,???!!! on ICE,"While on the verge of retirement, skater Yuri Katsuki meets Yuri Plisetsky and Victor Nikiforov, two skaters who rekindle his competitive fire.",10/6/2016,5.0628,"Animation, Comedy, Drama",Japan,Japanese,8.535,636
93,Generator Rex,Generator Rex,"Generator Rex, an average teenager with the ability to turn his body into amazing machines, helps the secret organization Providence save the world from the nanite threat and dangerous EVO monsters.",4/23/2010,5.7493,"Animation, Action & Adventure, Kids, Family",United States,English,8.535,397
94,The Dangers in My Heart,?????????,"Kyotaro Ichikawa, a boy barely clinging to the bottom rung of his school's social ladder, secretly believes he’s the tortured lead in some psychological thriller. He spends his days dreaming up ways to disrupt his classmates' peaceful lives and pining after Anna Yamada, the class idol. But Kyotaro's not nearly the troubled teen he pretends to be…and it turns out Anna's a bit odd herself!",4/2/2023,11.052,"Animation, Comedy",Japan,Japanese,8.5,207
95,Crash Landing on You,??? ???,"A paragliding mishap drops a South Korean heiress in North Korea -- and into the life of an army officer, who decides he will help her hide.",12/14/2019,10.4049,"Drama, Comedy",South Korea,Korean,8.5,857
96,High School D×D,??????D×D,"Issei Hyodo is your average perverted high school student whose one wish in life is to have his own harem, but he's got to be one of the unluckiest guys around. He goes on his first date with a girl only to get brutally attacked and killed when it turns out the girl is really a vicious fallen angel. To top it all off, he's later reincarnated as a devil by his gorgeous senpai who tells him that she is also a devil and now his master! One thing's for sure, his peaceful days are over. In a battle between devils and angels, who will win?",1/6/2012,21.6583,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",Japan,Japanese,8.5,1976
97,Naruto Shipp?den,??? ???,"After 2 and a half years Naruto finally returns to his village of Konoha, and sets about putting his ambitions to work. It will not be easy though as he has amassed a few more dangerous enemies, in the likes of the shinobi organization; Akatsuki.",2/15/2007,29.3766,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,8.5,8480
98,Young Royals,Young Royals,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.",7/1/2021,6.7829,Drama,Sweden,Swedish,8.5,1162
99,Rurouni Kenshin,?????? ???????,"The Meiji Era was one of great renewal for Japan, where swords and killing were outlawed. However, many survivors from the time of Revolution still live, lurking in the shadows and waiting for a chance to use their killing blades again. Only Kenshin Himura, formerly one of the most brutal of killers, hopes to keep his swordsman's honor and still live in the new era.",1/10/1996,16.1588,"Action & Adventure, Animation, Comedy",Japan,Japanese,8.529,781
100,Peaky Blinders,Peaky Blinders,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",9/12/2013,55.6768,"Drama, Crime",United Kingdom,English,8.528,10637
